,x86,x86_64,armhf,aarch64,ppc64le,s390x
main/libcap-ng,1,1,1,1,1,1
main/libcddb,1,1,1,1,1,1
main/libcdio,1,1,1,1,1,1
main/libcdio-paranoia,1,1,1,1,1,1
main/libconfig,1,1,1,1,1,1
main/libcroco,1,1,1,1,1,1
main/libcrystalhd,1,1,0,0,0,0
main/libcue,1,1,1,1,1,1
main/libdaemon,1,1,1,1,1,1
main/libdbi,1,1,1,1,1,1
main/libdc1394,1,1,1,1,1,1
main/libdnet,1,1,1,1,1,1
main/libdrm,1,1,1,1,1,1
main/libdv,1,1,1,1,1,1
main/libdvbcsa,1,1,1,1,1,1
main/libdvbpsi,1,1,1,1,1,1
main/libdvdcss,1,1,1,1,1,1
main/libdvdnav,1,1,1,1,1,1
main/libdvdread,1,1,1,1,1,1
main/libebml,1,1,1,1,1,1
main/libechonest,1,1,1,1,1,1
main/libedit,1,1,1,1,1,1
main/libee,1,1,1,1,1,1
main/libelf,1,1,1,1,1,1
main/libepoxy,1,1,1,1,1,1
main/libestr,1,1,1,1,1,1
main/libetpan,1,1,1,1,1,1
main/libev,1,1,1,1,1,1
main/libevdev,1,1,1,1,1,1
main/libevent,1,1,1,1,1,1
main/libexecinfo,1,1,1,1,1,1
main/libexif,1,1,1,1,1,1
main/libfastjson,1,1,1,1,1,1
main/libfetch,1,1,1,1,1,1
main/libffi,1,1,1,1,1,1
main/libfontenc,1,1,1,1,1,1
main/libfprint,1,1,1,1,1,1
main/libgcab,1,1,1,1,1,1
main/libgcrypt,1,1,1,1,1,1
main/libgee,1,1,1,1,1,1
main/libgit2,1,1,1,1,1,1
main/libglade,1,1,1,1,1,1
main/libgnome,1,1,1,1,1,1
main/libgnomekbd,1,1,1,1,1,1
main/libgpg-error,1,1,1,1,1,1
main/libgphoto2,1,1,1,1,1,1
main/libgsasl,1,1,1,1,1,1
main/libgsf,1,1,1,1,1,1
main/libgss,1,1,1,1,1,1
main/libgssglue,1,1,1,1,1,1
main/libgudev,1,1,1,1,1,1
main/libguess,1,1,1,1,1,1
main/libical,1,1,1,1,1,1
main/libice,1,1,1,1,1,1
main/libid3tag,1,1,1,1,1,1
main/libidl,1,1,1,1,1,1
main/libidn,1,1,1,1,1,1
